Day,ExpRep,PCN,log(transposon copy),log(plasmid copy),transposon copy,plasmid copy,T/P,Kan
12,3,CloDF,1.327117306116663,1.2645695704488273,21.481030058082137,18.74474213103163,1.156123757221331,Kan
12,4,Chromosome,0.5775655077439431,0.0,3.8000462582067223,0.0,,Kan
12,4,pBR322,1.53552054639018,1.3962768038018256,34.40344347832335,24.96656941830062,1.3782617445086711,Kan
12,4,CloDF,1.3278864470555292,1.3988120794458536,21.408796779824915,25.309780170474244,0.8497537008193984,Kan
12,5,Chromosome,0.6025407802245165,0.0,4.00600712707856,0.0,,Kan
12,5,pBR322,1.493812969723753,1.3524797356316496,31.24574153974389,22.5712229705497,1.3851096182367106,Kan
12,5,CloDF,1.3151715833954651,1.3978061490017526,20.70154710615291,25.07150099820171,0.827349200828818,Kan
13,1,Chromosome,0.7666006015449605,0.0,6.005737673112029,0.0,,Kan
13,1,pBR322,1.7502260288248968,1.3270827818963018,56.71355258471468,21.340351331902166,2.6505398431392515,Kan
13,1,CloDF,1.4984197749806862,1.281806904143793,31.59539124027954,19.190936378110873,1.6470152278638501,Kan
13,2,Chromosome,0.6901690568484123,0.0,4.948599466101365,0.0,,Kan
13,2,pBR322,1.7409751301111351,1.336139631535059,55.501029312955005,21.971500975390082,2.542061164006615,Kan
13,2,CloDF,1.4861396842363146,1.5812609096560415,30.822158606749927,38.501953533520556,0.8037083325746598,Kan
13,3,Chromosome,0.7748236645970551,0.0,6.088336657042739,0.0,,Kan
13,3,pBR322,1.7878832242181117,1.3899451714456943,62.026649428809826,24.794385493554458,2.5013913679789717,Kan
13,3,CloDF,1.4662217321540967,1.2930645032003956,29.980995626829458,20.278750453608158,1.4911057778102987,Kan
13,4,Chromosome,0.6815778367272602,0.0,4.958027792076515,0.0,,Kan
13,4,pBR322,1.7821670902674358,1.396142899761136,60.732222335902556,25.055905672615463,2.4341158092209723,Kan
13,4,CloDF,1.44158391500462,1.3602901105228193,27.733227976207544,23.190041439699684,1.2086655047485626,Kan
13,5,Chromosome,0.7618820677846573,0.0,5.935449468549089,0.0,,Kan
13,5,pBR322,1.7554834162897244,1.371715483380231,57.83546769916328,23.94123025172821,2.42030019425661,Kan
13,5,CloDF,1.4156269041933764,1.415573554944241,26.214950466776997,26.315555871745996,1.00068274679956,Kan
14,1,Chromosome,0.5709848946183086,0.0,3.7313912719410065,0.0,,Kan
14,1,pBR322,1.6246033459591482,1.5899694765021086,42.16656944090975,38.95623518662491,1.0833626282076805,Kan
14,1,CloDF,1.7303981710013108,1.9875675619335171,54.37332040557249,98.69790074191762,0.5533584052407362,Kan
14,2,Chromosome,0.5438139282733889,0.0,3.511826223606562,0.0,,Kan
14,2,pBR322,1.6054587970540775,1.5841204654681478,40.31496439070698,38.39012219414215,1.0507412041977382,Kan
14,2,CloDF,1.674835908634666,2.16367604289881,47.50105430306164,146.63629395609925,0.3245207778841408,Kan
14,3,Chromosome,0.5865584474797811,0.0,3.8617467105597605,0.0,,Kan
14,3,pBR322,1.7623358699596288,1.7822569133711754,58.07175766558067,60.821224991268046,0.9557341099052211,Kan
14,3,CloDF,1.7099082928990186,2.040439155659618,51.79716126191334,111.54323501135315,0.4677767992361317,Kan
14,4,Chromosome,0.4802814806785268,0.0,3.037605232770384,0.0,,Kan
14,4,pBR322,1.6786872223415326,1.7084031090318204,47.74521069301088,51.12243407182411,0.9340970002508125,Kan
14,4,CloDF,1.6343053086785344,1.9661636341343265,43.457845575790714,93.95012939687935,0.46647510819747123,Kan
14,5,Chromosome,0.5936681454173137,0.0,3.926751910087447,0.0,,Kan
14,5,pBR322,1.6582501300875074,1.7019632111080505,45.653615048276,50.491934304009135,0.9043741196589975,Kan
14,5,CloDF,1.7183679263874554,2.159292256216343,52.40124217143356,144.590430661642,0.362310709359164,Kan
15,1,Chromosome,0.6343733296829774,0.0,4.340817853075652,0.0,,Kan
15,1,pBR322,1.532295176491326,1.150132320800321,34.072232878110256,14.133829640020254,2.411132231998193,Kan
15,1,CloDF,1.4164965321055238,1.2857871586431424,26.156495052116153,19.413067792553385,1.3518509000798016,Kan
15,2,Chromosome,0.6487295708743169,0.0,4.464168076144426,0.0,,Kan
15,2,pBR322,1.5381984882005628,1.169276341685085,34.706910935645105,14.873967949996446,2.339068627808408,Kan
15,2,CloDF,1.3427820972282938,1.4673802052972187,22.02645812398656,29.369937681230724,0.7508119515929802,Kan
15,3,Chromosome,0.6735309236698658,0.0,4.7421942640013315,0.0,,Kan
15,3,pBR322,1.6314731129726805,1.2913529055276762,43.13169871853682,19.74971552135237,2.1892227128775037,Kan
15,3,CloDF,1.3354640100882558,1.245812930803598,21.770316207173,17.73610833173165,1.2296708892736377,Kan
15,4,Chromosome,0.585565963721679,0.0,3.9016699864252744,0.0,,Kan
15,4,pBR322,1.6091113115492999,1.2477572586151244,40.70042434890965,17.70227146089684,2.298612748031072,Kan
15,4,CloDF,1.2868496558762526,1.162238378207302,19.38245141398059,14.59110375526223,1.3338166414008505,Kan
15,5,Chromosome,0.6510054642891027,0.0,4.493809664518776,0.0,,Kan
15,5,pBR322,1.562782196528618,1.2162840315659953,36.68384156280907,16.50821240677251,2.2208123938015008,Kan
15,5,CloDF,1.4085922999110219,1.4316570508129687,25.70487485768675,27.10465652305986,0.9493064971454741,Kan
16,1,Chromosome,0.7499083725414604,0.0,5.662581380806415,0.0,,Kan
16,1,pBR322,1.8395825391125051,1.7783985376765894,69.30518515670491,60.112115517344854,1.151608615197497,Kan
16,1,CloDF,1.6544344713197867,1.8371230464252564,45.265877492878616,69.4211087093641,0.6582959914437049,Kan
16,2,Chromosome,0.7538475735508233,0.0,5.736911064137153,0.0,,Kan
16,2,pBR322,1.8252543618635781,1.7763649088742424,66.95314050968643,59.826069197013645,1.1196966327738558,Kan
16,2,CloDF,1.5997886692098362,2.098676637828211,39.86430099095565,125.6388256527045,0.3175150963750014,Kan
16,3,Chromosome,0.7556841867947358,0.0,5.7099590213008575,0.0,,Kan
16,3,pBR322,1.8914937765348288,1.8759124468797979,78.22063821995839,75.27513286287198,1.0375172073247971,Kan
16,3,CloDF,1.5522019236330757,1.7762469883194456,35.71066982645795,60.007371387564405,0.5976745781663579,Kan
16,4,Chromosome,0.6738721305198488,0.0,4.742993737380922,0.0,,Kan
16,4,pBR322,1.8365016955044358,1.830294288958746,68.73792907616958,67.83869246410806,1.0146551561058583,Kan
16,4,CloDF,1.534964335105,1.753293162916357,34.291668993309,56.67192989509237,0.6051259327946167,Kan
16,5,Chromosome,0.7653785992579363,0.0,5.831395896422316,0.0,,Kan
16,5,pBR322,1.7636127176392542,1.7440367451667742,58.11358170866381,55.50450599097945,1.0478402893624719,Kan
16,5,CloDF,1.6071829259372254,2.0284981124922457,40.5051266605945,107.05476509755346,0.37946451324324837,Kan
17,1,Chromosome,0.5234008950087744,0.0,3.343599607997266,0.0,,Kan
17,1,pBR322,1.614148127967801,1.6434540274986755,41.1419919770993,44.01243579282325,0.9351788425048375,Kan
17,1,CloDF,1.3610864723334748,1.6136093693873932,23.073251008883958,41.51394625492817,0.5597574639789187,Kan
17,2,Chromosome,0.5563025531850466,0.0,3.6044391527634994,0.0,,Kan
17,2,pBR322,1.5779336497621923,1.6041963727235575,37.86491280141302,40.22550988291671,0.9418472426572905,Kan
17,2,CloDF,1.344815664111905,1.9391349243150346,22.134567730712803,87.08227856351049,0.2545911474330352,Kan
17,3,Chromosome,0.607692538711136,0.0,4.066087381744336,0.0,,Kan
17,3,pBR322,1.644299299370538,1.713073102656909,44.46513328316994,51.92565234542098,0.8538981217484835,Kan
17,3,CloDF,1.2698554630616428,1.52479924684697,18.7262243481838,33.69808313346693,0.5560018925288107,Kan
17,4,Chromosome,0.49721826213450004,0.0,3.151463633552803,0.0,,Kan
17,4,pBR322,1.566681757133553,1.6412094329666518,36.93573491390172,43.958523507210536,0.8434411225134504,Kan
